Name,Tier,Type,Power,Category,Element,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perkcheck,PvE?,PvP?,In Masterlist?
butler rs/2,Uncommon,Rocket Launcher,750,Power,Arc,-----,-----,High-Impact Frame,Confined Launch,High-Velocity Rounds,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Uncommon
ten paces,Legendary,Hand Cannon,960,Kinetic,Kinetic,Range,4.0,Adaptive Frame,Fastdraw HCS,TrueSight HCS,Appended Mag,Steady Rounds,Threat Detector,Hip-Fire Grip,Distant Earth,Tier 4 Weapon,-----,-----,-----,-----,2,1,0,N
black tiger-2sr,Rare,Scout Rifle,959,Energy,Arc,-----,-----,VEIST Rapid-Fire,Corkscrew Rifling,Armor-Piercing Rounds,Zen Moment,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
future imperfect,Rare,Sword,960,Power,Solar,-----,-----,Adaptive Frame,Tempered Edge,Enduring Guard,En Garde,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
cup-bearer sa/2,Rare,Rocket Launcher,960,Power,Void,-----,-----,Adaptive Frame,Hard Launch,High-Velocity Rounds,Cluster Bomb,New Pacific Rush (Worn),-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
nox lumen ii,Rare,Fusion Rifle,960,Energy,Void,-----,-----,High-Impact Frame,Fastdraw IS,Accelerated Coils,Hip-Fire Grip,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
ikelos_hc_v1.0.1,Legendary,Hand Cannon,940,Energy,Void,-----,-----,Precision Frame,Corkscrew Rifling,Seraph Rounds,Rampage,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,-----,-----,1,1,0,N
python,Legendary,Shotgun,960,Energy,Void,Reload Speed,10.0,Aggressive Frame,Smallbore,Extended Mag,Overflow,Shield Disorient,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,2,1,0,N
does not compute,Legendary,Scout Rifle,961,Kinetic,Kinetic,Reload Speed,4.0,High-Impact Frame,Rifle Scope SSF,Hitmark IS,Drop Mag,Tactical Mag,Moving Target,Explosive Payload,Crucible Legacy,Tier 4 Weapon,-----,-----,-----,-----,4,0,1,Y
rat king,Exotic,Sidearm,950,Kinetic,Kinetic,-----,-----,Rat Pack,Smallbore,Tactical Mag,Vermin,Smooth Grip,Rat King Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
tango-45 xk5094,Legendary,Scout Rifle,958,Energy,Solar,Stability,1.0,Precision Frame,SRO-37 Ocular,SLO-12 Post,SLO-21 Post,Alloy Magazine,Flared Magwell,Moving Target,Rampage,Refurbished Black Armory,Tier 1 Weapon,-----,-----,-----,2,1,1,N
fussed dark mk.21,Rare,Shotgun,960,Energy,Arc,-----,-----,Precision Frame,Barrel Shroud,Flared Magwell,Moving Target,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
the huckleberry,Exotic,Submachine Gun,950,Kinetic,Kinetic,-----,-----,Ride the Bull,Fluted Barrel,Ricochet Rounds,Rampage,Short-Action Stock,Huckleberry Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
spare rations,Legendary,Hand Cannon,960,Kinetic,Kinetic,Reload Speed,3.0,Lightweight Frame,Arrowhead Brake,Extended Barrel,Alloy Magazine,High-Caliber Rounds,Field Prep,Multikill Clip,Tier 3 Weapon,-----,-----,-----,-----,-----,2,1,0,Y
breath of the dragon,Legendary,Submachine Gun,962,Energy,Arc,Range,4.0,Lightweight Frame,Full Bore,Hammer-Forged Rifling,Alloy Magazine,High-Caliber Rounds,Moving Target,High-Impact Reserves,Iron Fuchsite,Tier 4 Weapon,-----,-----,-----,-----,3,1,0,N
borealis,Exotic,Sniper Rifle,960,Energy,Void,Reload Speed,10.0,The Fundamentals,Corkscrew Rifling,Extended Mag,Ionic Return,Hand-Laid Stock,Borealis Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
cuboid aru,Rare,Auto Rifle,960,Kinetic,Kinetic,-----,-----,Precision Frame,Red Dot-ORS1,Armor-Piercing Rounds,Moving Target,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
parsec tsu,Rare,Fusion Rifle,960,Energy,Solar,-----,-----,High-Impact Frame,TrueSight IS,Particle Repeater,Field Prep,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
fighting lion,Exotic,Grenade Launcher,950,Energy,Void,Reload Speed,10.0,Delayed Gratification,Countermass,Implosion Rounds,Thin the Herd,Short-Action Stock,Fighting Lion Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
suros regime,Exotic,Auto Rifle,960,Kinetic,Kinetic,Recoil Direction,10.0,SUROS Legacy,Hammer-Forged Rifling,Tactical Mag,Spinning Up,Hand-Laid Stock,SUROS Regime Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
badlander,Legendary,Shotgun,958,Energy,Arc,Handling,1.0,Rapid-Fire Frame,Smoothbore,Full Choke,Steady Rounds,Light Mag,Threat Detector,Genesis,Distant Earth,Tier 1 Weapon,-----,-----,-----,-----,2,1,1,N
swarm of the raven,Legendary,Grenade Launcher,959,Power,Void,Reload Speed,3.0,Aggressive Frame,Confined Launch,Hard Launch,Augmented Drum,Sticky Grenades,Auto-Loading Holster,Quickdraw,Iron Fuchsite,Tier 3 Weapon,-----,-----,-----,-----,0,0,0,N
swarm of the raven,Legendary,Grenade Launcher,959,Power,Void,Velocity,2.0,Aggressive Frame,Hard Launch,Quick Launch,Alloy Casing,Mini Frags,Auto-Loading Holster,Rampage,Iron Fuchsite,Tier 2 Weapon,-----,-----,-----,-----,0,0,0,N
trinity ghoul,Exotic,Combat Bow,960,Energy,Arc,-----,-----,Split Electron,High Tension String,Compact Arrow Shaft,Lightning Rod,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
crimson,Exotic,Hand Cannon,957,Kinetic,Kinetic,Range,10.0,Banned Weapon,Smallbore,Accurized Rounds,Cruel Remedy,Heavy Grip,Crimson Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
stryker's sure-hand,Legendary,Sword,959,Power,Arc,Impact,1.0,Adaptive Frame,Hungry Edge,Jagged Edge,Enduring Guard,Swordmaster's Guard,Assassin's Blade,En Garde,New Age Black Armory,Tier 1 Weapon,Base Radiance,-----,-----,-----,2,0,1,N
hard truths,Legendary,Submachine Gun,957,Kinetic,Kinetic,Range,5.0,Aggressive Frame,IS 2 Classic,Model 8 Red,Appended Mag,Light Mag,Zen Moment,Kill Clip,Crucible Legacy,Tier 5 Weapon,-----,-----,-----,-----,4,1,1,Y
polaris lance,Exotic,Scout Rifle,950,Energy,Solar,-----,-----,The Perfect Fifth,Smallbore,Tactical Mag,Zen Moment,Fitted Stock,Polaris Lance Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
rest for the wicked,Rare,Sword,960,Power,Void,-----,-----,Adaptive Frame,Enduring Blade,Balanced Guard,Assassin's Blade,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
arsenic bite-4b,Legendary,Combat Bow,958,Energy,Arc,Handling,3.0,Lightweight Frame,Tactile String,Elastic String,Fiberglass Arrow Shaft,Natural Fletching,Hip-Fire Grip,Archer's Tempo,Glacial Whisper,Tier 3 Weapon,-----,-----,-----,-----,4,1,0,N
the wardcliff coil,Exotic,Rocket Launcher,950,Power,Arc,-----,-----,Mad Scientist,Volatile Launch,Extended Mag,Mechanized Autoloader,Composite Stock,Wardcliff Coil Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
outrageous fortune,Legendary,Grenade Launcher,961,Power,Solar,Velocity,5.0,Aggressive Frame,Linear Compensator,Smart Drift Control,Spike Grenades,Sticky Grenades,Snapshot Sights,Genesis,Vanguard Veteran,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
eriana's vow,Exotic,Hand Cannon,950,Energy,Solar,Magazine,10.0,Looks Can Kill,Extended Barrel,Accurized Rounds,Death at First Glance,Polymer Grip,Tracker Disabled,Eriana's Vow Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
dust rock blues,Legendary,Shotgun,958,Kinetic,Kinetic,Handling,5.0,Precision Frame,Corkscrew Rifling,Full Choke,Appended Mag,Accurized Rounds,Threat Detector,Full Auto Trigger System,Tangled Rust,Tier 5 Weapon,-----,-----,-----,-----,4,1,1,Y
jack queen king 3,Legendary,Hand Cannon,959,Energy,Arc,Range,3.0,Lightweight Frame,Fastdraw HCS,TrueSight HCS,Armor-Piercing Rounds,Flared Magwell,Subsistence,Dragonfly,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
last perdition,Legendary,Pulse Rifle,918,Energy,Void,Range,1.0,Adaptive Frame,SLO-12 Post,SPO-57 Front,Accurized Rounds,Appended Mag,Rangefinder,Zen Moment,Crucible Legacy,Tier 1 Weapon,-----,-----,-----,-----,4,0,1,Y
hawthorne's field-forged shotgun,Legendary,Shotgun,960,Kinetic,Kinetic,Handling,2.0,Lightweight Frame,Corkscrew Rifling,Full Choke,Tactical Mag,Steady Rounds,Field Prep,One-Two Punch,Tier 2 Weapon,-----,-----,-----,-----,-----,4,1,0,Y
prometheus lens,Exotic,Trace Rifle,951,Energy,Solar,-----,-----,Prismatic Inferno,Chambered Compensator,Projection Fuse,Flame Refraction,Composite Stock,Prometheus Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
blast furnace,Legendary,Pulse Rifle,960,Kinetic,Kinetic,Handling,10.0,Aggressive Burst,Meyrin RDL,Tactical Mag,Outlaw,Headseeker,Bergusian Night,Masterwork,Crucible Tracker,Base Radiance,-----,-----,-----,-----,4,0,1,Y
the hero's burden,Legendary,Submachine Gun,959,Energy,Void,Range,4.0,Adaptive Frame,SLO-21 Post,SPO-26 Front,Appended Mag,Armor-Piercing Rounds,Zen Moment,Kill Clip,Iron Fuchsite,Tier 4 Weapon,-----,-----,-----,-----,3,1,0,N
harmony-21,Rare,Submachine Gun,960,Energy,Arc,-----,-----,Adaptive Frame,SLO-21 Post,Appended Mag,Grave Robber,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
jack queen king 3,Legendary,Hand Cannon,960,Energy,Arc,Stability,3.0,Lightweight Frame,Fastdraw HCS,TrueSight HCS,Ricochet Rounds,Light Mag,Subsistence,Swashbuckler,Tier 3 Weapon,-----,-----,-----,-----,-----,4,1,1,Y
talons of the eagle,Legendary,Scout Rifle,959,Kinetic,Kinetic,Reload Speed,1.0,High-Impact Frame,Corkscrew Rifling,Smallbore,Accurized Rounds,Extended Mag,Outlaw,Rampage,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,-----,3,1,0,Y
orewing's maul,Legendary,Grenade Launcher,959,Energy,Void,Handling,1.0,Lightweight Frame,Confined Launch,Countermass,Quick Launch,Spike Grenades,Implosion Rounds,Threat Detector,Snapshot Sights,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,2,1,1,Y
roderic-c,Rare,Sidearm,960,Kinetic,Kinetic,-----,-----,Precision Frame,Control SAS,Accurized Rounds,Rampage,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
calus mini-tool,Legendary,Submachine Gun,950,Energy,Solar,Handling,1.0,MIDA Synergy,Arrowhead Brake,Full Bore,Extended Mag,Ricochet Rounds,Moving Target,Surrounded,Shadow Gilt,Minor Spec,Tier 1 Weapon,-----,-----,-----,0,0,0,N
stampede mk.32,Rare,Grenade Launcher,960,Power,Void,-----,-----,Aggressive Frame,Confined Launch,Sticky Grenades,Quickdraw,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
badlander,Legendary,Shotgun,935,Energy,Arc,Stability,4.0,Rapid-Fire Frame,Rifled Barrel,Full Choke,Appended Mag,Accurized Rounds,Slideshot,Quickdraw,Distant Earth,Tier 4 Weapon,-----,-----,-----,-----,4,1,1,N
does not compute,Legendary,Scout Rifle,950,Kinetic,Kinetic,Handling,1.0,High-Impact Frame,Cleanshot IS,Red Dot 2 MOA,Tactical Mag,Steady Rounds,Triple Tap,Outlaw,Crucible Legacy,Tier 1 Weapon,-----,-----,-----,-----,4,1,0,Y
parsec tsu,Rare,Fusion Rifle,960,Energy,Solar,-----,-----,High-Impact Frame,TrueSight IS,Particle Repeater,Field Prep,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
claws of the wolf,Legendary,Pulse Rifle,959,Energy,Void,Handling,1.0,Rapid-Fire Frame,Corkscrew Rifling,Polygonal Rifling,Appended Mag,Light Mag,Threat Detector,Rangefinder,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,-----,1,1,0,Y
anonymous autumn,Legendary,Sidearm,960,Energy,Solar,Handling,5.0,Lightweight Frame,Control SAS,Shortspec SAS,Appended Mag,Ricochet Rounds,Full Auto Trigger System,Rangefinder,Crucible Legacy,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
crimil's dagger,Legendary,Hand Cannon,959,Kinetic,Kinetic,Handling,5.0,Aggressive Frame,Fastdraw HCS,HitMark HCS,Drop Mag,Appended Mag,Outlaw,Timed Payload,Iron Fuchsite,Tier 5 Weapon,-----,-----,-----,-----,3,1,0,Y
mida multi-tool,Exotic,Scout Rifle,950,Kinetic,Kinetic,-----,-----,MIDA Multi-Tool,Corkscrew Rifling,High-Caliber Rounds,MIDA Radar,Hand-Laid Stock,MIDA Multi-Tool Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
vigilance wing,Exotic,Pulse Rifle,950,Kinetic,Kinetic,-----,-----,Harsh Truths,Corkscrew Rifling,Alloy Magazine,Last Stand,Composite Stock,Vigilance Wing Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
jack queen king 3,Legendary,Hand Cannon,960,Energy,Arc,Range,1.0,Lightweight Frame,Crossfire HCS,Sureshot HCS,Armor-Piercing Rounds,Flared Magwell,Subsistence,Swashbuckler,Backup Mag,Tier 1 Weapon,-----,-----,-----,-----,3,1,1,Y
jack queen king 3,Legendary,Hand Cannon,960,Energy,Arc,Stability,1.0,Lightweight Frame,TrueSight HCS,Sureshot HCS,Extended Mag,Light Mag,Demolitionist,Dragonfly,Tier 1 Weapon,-----,-----,-----,-----,-----,3,1,0,Y
hard light,Exotic,Auto Rifle,950,Energy,Void,-----,-----,Volatile Light,Polygonal Rifling,Alloy Magazine,The Fundamentals,Composite Stock,Hard Light Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
tatara gaze,Legendary,Sniper Rifle,960,Energy,Arc,Handling,2.0,Aggressive Frame,Arrowhead Brake,Corkscrew Rifling,Accurized Rounds,Flared Magwell,Outlaw,Kill Clip,New Age Black Armory,Tier 2 Weapon,Base Radiance,-----,-----,-----,2,1,1,N
last hope,Legendary,Sidearm,960,Energy,Arc,Reload Speed,1.0,Omolon Adaptive Frame,Shortspec SAS,Target SAS,Extended Mag,Flared Magwell,Feeding Frenzy,Multikill Clip,Tier 1 Weapon,-----,-----,-----,-----,-----,0,0,0,N
last perdition,Legendary,Pulse Rifle,961,Energy,Void,Stability,4.0,Adaptive Frame,SRO-52 Ocular,SLO-21 Post,Extended Mag,Flared Magwell,Rangefinder,Snapshot Sights,Crucible Legacy,Tier 4 Weapon,-----,-----,-----,-----,2,1,1,Y
austringer,Legendary,Hand Cannon,960,Kinetic,Kinetic,Stability,4.0,Adaptive Frame,Corkscrew Rifling,Hammer-Forged Rifling,Tactical Mag,Steady Rounds,Snapshot Sights,Zen Moment,Shadow Gilt,Targeting Adjuster,Tier 4 Weapon,-----,-----,-----,2,1,1,Y
the vow,Legendary,Combat Bow,960,Energy,Solar,Draw Time,10.0,Lightweight Frame,Polymer String,Natural Fletching,Rapid Hit,Archer's Tempo,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,2,1,1,N
elatha fr4,Legendary,Fusion Rifle,961,Energy,Solar,Handling,2.0,High-Impact Frame,Candle PS,Flash HS5,Accelerated Coils,Ionized Battery,Firmly Planted,Demolitionist,Tier 2 Weapon,-----,-----,-----,-----,-----,3,1,0,Y
steel sybil z-14,Legendary,Sword,960,Power,Void,Impact,1.0,Adaptive Frame,Hungry Edge,Jagged Edge,Tempered Edge,Burst Guard,Heavy Guard,Relentless Strikes,En Garde,Crucible Legacy,Tier 1 Weapon,-----,-----,-----,2,1,1,N
bug-out bag,Legendary,Submachine Gun,960,Energy,Solar,Handling,2.0,Adaptive Frame,Arrowhead Brake,Polygonal Rifling,Accurized Rounds,Steady Rounds,Subsistence,Demolitionist,Tier 2 Weapon,-----,-----,-----,-----,-----,0,1,1,N
the queenbreaker,Exotic,Linear Fusion Rifle,950,Power,Arc,-----,-----,Wire Rifle,Marksman Sights,Enhanced Battery,Hip-Fire Grip,Fitted Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
bad omens,Legendary,Rocket Launcher,950,Power,Void,Velocity,3.0,Aggressive Frame,Volatile Launch,Countermass,Alloy Casing,Implosion Rounds,Auto-Loading Holster,Kill Clip,Gambit Leather,Tier 3 Weapon,-----,-----,-----,-----,0,0,0,N
furina-2mg,Rare,Submachine Gun,960,Energy,Void,-----,-----,Lightweight Frame,Fluted Barrel,Tactical Mag,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
terran wind,Legendary,Grenade Launcher,960,Power,Solar,Reload Speed,5.0,Aggressive Frame,Countermass,Remote Detonation,Quickdraw,Rampage,Distant Earth,Tier 5 Weapon,-----,-----,-----,-----,-----,-----,0,0,0,N
