Name,Tier,Type,Power,Dmg,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perkcheck,PvE?,PvP?,In Masterlist?
coldheart,Exotic,Trace Rifle,950,Arc,Stability,10.0,Cold Fusion,Extended Barrel,Enhanced Battery,Longest Winter,Hand-Laid Stock,Coldheart Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
merciless,Exotic,Fusion Rifle,950,Solar,-----,-----,Conserve Momentum,Chambered Compensator,Extended Mag,Impetus,Fitted Stock,Merciless Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
zenobia-d,Legendary,Rocket Launcher,960,Arc,Blast Radius,2.0,Häkke Precision Frame,Countermass,Hard Launch,Alloy Casing,High-Velocity Rounds,Auto-Loading Holster,Cluster Bomb,Tier 2 Weapon,-----,-----,-----,3,1,0,Y
the colony,Exotic,Grenade Launcher,955,Void,Magazine,10.0,Insectoid Robot Grenades,Linear Compensator,High-Velocity Rounds,Serve the Colony,Composite Stock,Colony Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
outrageous fortune,Legendary,Grenade Launcher,959,Solar,Reload Speed,1.0,Aggressive Frame,Hard Launch,Quick Launch,Mini Frags,Sticky Grenades,Auto-Loading Holster,Quickdraw,Vanguard Veteran,Tier 1 Weapon,-----,-----,2,1,1,Y
sleeper simulant,Exotic,Linear Fusion Rifle,950,Solar,-----,-----,Dornröschen,Polygonal Rifling,Flared Magwell,Moving Target,Composite Stock,Sleeper Simulant Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
play of the game,Legendary,Grenade Launcher,960,Arc,Reload Speed,2.0,Adaptive Frame,Volatile Launch,Hard Launch,Linear Compensator,Alloy Casing,High-Explosive Ordnance,Auto-Loading Holster,Quickdraw,Crucible Legacy,Tier 2 Weapon,-----,3,1,1,N
fixed odds,Legendary,Machine Gun,960,Solar,Reload Speed,2.0,High-Impact Frame,Corkscrew Rifling,Full Bore,Alloy Magazine,High-Caliber Rounds,Feeding Frenzy,Rampage,Shadow Gilt,Tier 2 Weapon,-----,-----,4,1,0,Y
two-tailed fox,Exotic,Rocket Launcher,959,Void,-----,-----,Twintails,Confined Launch,High-Velocity Rounds,Play with Your Prey,Composite Stock,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
hoosegow xe5837,Legendary,Rocket Launcher,959,Solar,Blast Radius,1.0,Adaptive Frame,Countermass,Linear Compensator,Quick Launch,High-Velocity Rounds,Impact Casing,Auto-Loading Holster,Quickdraw,Refurbished Black Armory,Tier 1 Weapon,-----,4,1,1,Y
crooked fang-4fr,Legendary,Linear Fusion Rifle,960,Void,Reload Speed,1.0,Precision Frame,Extended Barrel,Full Bore,Enhanced Battery,Ionized Battery,Threat Detector,Rangefinder,Tier 1 Weapon,-----,-----,-----,2,0,1,Y
cup-bearer sa/2,Rare,Rocket Launcher,958,Solar,-----,-----,Adaptive Frame,Hard Launch,High-Velocity Rounds,Cluster Bomb,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
pillager,Legendary,Submachine Gun,960,Kinetic,Stability,5.0,Lightweight Frame,Arrowhead Brake,Smallbore,Armor-Piercing Rounds,Flared Magwell,Outlaw,Moving Target,Gambit Leather,Tier 5 Weapon,-----,-----,2,1,0,Y
better devils,Legendary,Hand Cannon,960,Kinetic,Range,3.0,Adaptive Frame,TrueSight HCS,Crossfire HCS,Sureshot HCS,Tactical Mag,Extended Mag,Outlaw,Explosive Payload,Crucible Legacy,Backup Mag,Tier 3 Weapon,4,1,1,Y
borealis,Exotic,Sniper Rifle,960,Void,Reload Speed,10.0,The Fundamentals,Corkscrew Rifling,Extended Mag,Ionic Return,Hand-Laid Stock,Borealis Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
crooked fang-4fr,Legendary,Linear Fusion Rifle,960,Void,Handling,2.0,Precision Frame,Fluted Barrel,Full Bore,Liquid Coils,Projection Fuse,Opening Shot,Rampage,Major Spec,Tier 2 Weapon,-----,-----,4,0,1,Y
hawthorne's field-forged shotgun,Legendary,Shotgun,959,Kinetic,-----,-----,Lightweight Frame,Rifled Barrel,Tactical Mag,Full Auto Trigger System,Masterwork Upgrade,-----,-----,-----,-----,-----,-----,2,1,1,Y
smuggler's word,Legendary,Sidearm,949,Kinetic,Handling,1.0,Aggressive Burst,Control SAS,FarPoint SAS,Alloy Magazine,Appended Mag,Outlaw,Rampage,Glacial Whisper,Tier 1 Weapon,-----,-----,4,1,0,Y
no turning back,Legendary,Combat Bow,959,Kinetic,Draw Time,2.0,Precision Frame,High Tension String,Fiberglass Arrow Shaft,Explosive Head,Hip-Fire Grip,Glacial Whisper,Tier 2 Weapon,-----,-----,-----,-----,3,0,1,N
stubborn oak,Common,Shotgun,750,Solar,-----,-----,Aggressive Frame,Full Choke,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Common
elatha fr4,Legendary,Fusion Rifle,960,Solar,Range,3.0,High-Impact Frame,Candle PS,Spark PS,Accelerated Coils,Projection Fuse,Hip-Fire Grip,Surrounded,Tier 3 Weapon,-----,-----,-----,2,1,0,Y
bad reputation,Legendary,Submachine Gun,960,Solar,Range,1.0,Precision Frame,King Sight K1,Dusk Sight D1,Appended Mag,Flared Magwell,Grave Robber,Dynamic Sway Reduction,Distant Earth,Tier 1 Weapon,-----,-----,3,1,1,Y
kindled orchid,Legendary,Hand Cannon,960,Void,Stability,2.0,Adaptive Frame,Arrowhead Brake,Corkscrew Rifling,Tactical Mag,Steady Rounds,Shield Disorient,Rapid Hit,New Age Black Armory,Tier 2 Weapon,Base Radiance,-----,4,1,0,Y
khvostov 7g-02,Common,Auto Rifle,750,Kinetic,-----,-----,Adaptive Frame,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Common
the cut and run,Legendary,Scout Rifle,960,Arc,Range,1.0,High-Impact Frame,Devil Scope D2,Dusk Sight D1,High-Caliber Rounds,Ricochet Rounds,Moving Target,Genesis,Glacial Whisper,Tier 1 Weapon,-----,-----,1,1,1,N
butler rs/2,Uncommon,Rocket Launcher,750,Arc,-----,-----,High-Impact Frame,Confined Launch,High-Velocity Rounds,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Uncommon
ten paces,Legendary,Hand Cannon,938,Kinetic,Stability,4.0,Adaptive Frame,HitMark HCS,Sureshot HCS,Extended Mag,Alloy Magazine,Triple Tap,Rampage,Distant Earth,Tier 4 Weapon,-----,-----,3,1,0,N
sunshot,Exotic,Hand Cannon,950,Solar,-----,-----,Sunburn,Chambered Compensator,Accurized Rounds,Sun Blast,Textured Grip,Sunshot Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
nox lumen ii,Rare,Fusion Rifle,960,Void,-----,-----,High-Impact Frame,Fastdraw IS,Accelerated Coils,Hip-Fire Grip,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
skyburner's oath,Exotic,Scout Rifle,950,Solar,-----,-----,Slug Rifle,Extended Barrel,Extended Mag,For the Empire,Short-Action Stock,Skyburner Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
ten paces,Legendary,Hand Cannon,956,Kinetic,Stability,1.0,Adaptive Frame,TrueSight HCS,HitMark HCS,Accurized Rounds,Extended Mag,Triple Tap,Opening Shot,Glacial Whisper,Tier 1 Weapon,-----,-----,3,0,1,N
mida multi-tool,Exotic,Scout Rifle,950,Kinetic,-----,-----,MIDA Multi-Tool,Corkscrew Rifling,High-Caliber Rounds,MIDA Radar,Hand-Laid Stock,MIDA Multi-Tool Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
fixed odds,Legendary,Machine Gun,958,Solar,Reload Speed,1.0,High-Impact Frame,Arrowhead Brake,Polygonal Rifling,Appended Mag,Light Mag,Field Prep,Firmly Planted,Golden Empire,Tier 1 Weapon,-----,-----,2,1,0,Y
rat king,Exotic,Sidearm,950,Kinetic,-----,-----,Rat Pack,Smallbore,Tactical Mag,Vermin,Smooth Grip,Rat King Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
telesto,Exotic,Fusion Rifle,950,Void,-----,-----,Unplanned Reprieve,Projection Fuse,Harbinger's Pulse,Polymer Grip,Telesto Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
zenobia-d,Legendary,Rocket Launcher,919,Arc,Handling,1.0,Häkke Precision Frame,Volatile Launch,Smart Drift Control,High-Velocity Rounds,Impact Casing,Snapshot Sights,Quickdraw,Tier 1 Weapon,-----,-----,-----,4,1,1,Y
the hero's burden,Legendary,Submachine Gun,935,Void,Stability,5.0,Adaptive Frame,SLO-12 Post,SPO-57 Front,Extended Mag,Light Mag,Slideways,High-Impact Reserves,Iron Oxide,Tier 5 Weapon,-----,-----,2,0,1,Y
outrageous fortune,Legendary,Grenade Launcher,958,Solar,Blast Radius,2.0,Aggressive Frame,Countermass,Linear Compensator,High-Velocity Rounds,Concussion Grenades,Threat Detector,Ambitious Assassin,Vanguard Veteran,Tier 2 Weapon,-----,-----,2,1,0,Y
the queenbreaker,Exotic,Linear Fusion Rifle,950,Arc,-----,-----,Wire Rifle,Marksman Sights,Enhanced Battery,Hip-Fire Grip,Fitted Stock,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
braytech rwp mk. ii,Legendary,Scout Rifle,912,Solar,Magazine,10.0,High-Impact Frame,Smallbore,Tactical Mag,Zen Moment,Triple Tap,Masterwork Weapon,-----,-----,-----,-----,-----,2,1,1,N
ether doctor,Legendary,Auto Rifle,949,Kinetic,Handling,1.0,Adaptive Frame,Dusk Sight D1,King Dot K2,High-Caliber Rounds,Light Mag,Grave Robber,Rampage,Tangled Rust,Tier 1 Weapon,-----,-----,3,1,0,Y
spare rations,Legendary,Hand Cannon,949,Kinetic,Handling,4.0,Lightweight Frame,Chambered Compensator,Extended Barrel,Appended Mag,Flared Magwell,Rapid Hit,Kill Clip,Tier 4 Weapon,-----,-----,-----,3,1,0,Y
sweet business,Exotic,Auto Rifle,950,Kinetic,-----,-----,Payday,Polygonal Rifling,Armor-Piercing Rounds,Business Time,Composite Stock,Sweet Business Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
polaris lance,Exotic,Scout Rifle,950,Solar,-----,-----,The Perfect Fifth,Smallbore,Tactical Mag,Zen Moment,Fitted Stock,Polaris Lance Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
oxygen sr3,Legendary,Scout Rifle,948,Solar,Range,10.0,Precision Frame,Polygonal Rifling,Accurized Rounds,Dragonfly,Meganeura,Masterwork,Tracker Disabled,-----,-----,-----,-----,1,1,0,N
black tiger-2sr,Rare,Scout Rifle,960,Arc,-----,-----,VEIST Rapid-Fire,Corkscrew Rifling,Armor-Piercing Rounds,Zen Moment,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
trust,Legendary,Hand Cannon,949,Solar,Handling,3.0,Precision Frame,Polygonal Rifling,Smallbore,Accurized Rounds,Extended Mag,Triple Tap,Rampage,Gambit Leather,Tier 3 Weapon,-----,-----,4,1,0,Y
the wardcliff coil,Exotic,Rocket Launcher,950,Arc,-----,-----,Mad Scientist,Volatile Launch,Extended Mag,Mechanized Autoloader,Composite Stock,Wardcliff Coil Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
eystein-d,Legendary,Pulse Rifle,947,Kinetic,Handling,2.0,High-Impact Frame,LD Watchdog,SC Holo,High-Caliber Rounds,Light Mag,Ambitious Assassin,Rampage,Tier 2 Weapon,-----,-----,-----,3,1,0,Y
smuggler's word,Legendary,Sidearm,958,Kinetic,Reload Speed,2.0,Aggressive Burst,Control SAS,Tactic SAS,Armor-Piercing Rounds,Flared Magwell,Full Auto Trigger System,Zen Moment,Distant Earth,Tier 2 Weapon,-----,-----,2,1,0,Y
tango-45 xk5094,Legendary,Scout Rifle,959,Solar,Range,1.0,Precision Frame,SRO-52 Ocular,SLO-12 Post,SLO-10 Post,Drop Mag,Steady Rounds,Hip-Fire Grip,Dragonfly,Refurbished Black Armory,Tier 1 Weapon,-----,2,1,1,Y
bad reputation,Legendary,Submachine Gun,950,Solar,Reload Speed,2.0,Precision Frame,King Dot K2,Dusk Dot D1,Appended Mag,Ricochet Rounds,Genesis,Outlaw,Glacial Whisper,Tier 2 Weapon,-----,-----,3,1,1,Y
duke mk. 44,Legendary,Hand Cannon,948,Kinetic,Handling,4.0,Aggressive Frame,TrueSight HCS,HitMark HCS,Crossfire HCS,Rangefinder,Extended Mag,Appended Mag,Ricochet Rounds,Kill Clip,Distant Earth,Tier 4 Weapon,4,0,1,Y
ten paces,Legendary,Hand Cannon,956,Kinetic,Reload Speed,2.0,Adaptive Frame,HitMark HCS,Crossfire HCS,Drop Mag,Steady Rounds,Slideshot,Opening Shot,Glacial Whisper,Tier 2 Weapon,-----,-----,3,1,1,N
stampede mk.32,Rare,Grenade Launcher,960,Void,-----,-----,Aggressive Frame,Confined Launch,Sticky Grenades,Quickdraw,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
badlander,Legendary,Shotgun,935,Arc,Stability,4.0,Rapid-Fire Frame,Rifled Barrel,Full Choke,Appended Mag,Accurized Rounds,Slideshot,Quickdraw,Distant Earth,Tier 4 Weapon,-----,-----,4,0,1,Y
hard light,Exotic,Auto Rifle,950,Void,-----,-----,Volatile Light,Polygonal Rifling,Alloy Magazine,The Fundamentals,Composite Stock,Hard Light Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
braytech werewolf,Legendary,Auto Rifle,950,Kinetic,Range,10.0,Precision Frame,Hammer-Forged Rifling,Armor-Piercing Rounds,Zen Moment,Multikill Clip,Masterwork,Tracker Disabled,-----,-----,-----,-----,3,1,0,N
last perdition,Legendary,Pulse Rifle,949,Void,Range,2.0,Adaptive Frame,SLO-21 Post,SPO-28 Front,Tactical Mag,Steady Rounds,Rangefinder,Rampage,Crucible Legacy,Tier 2 Weapon,-----,-----,4,1,0,Y
the cut and run,Legendary,Scout Rifle,958,Arc,Range,2.0,High-Impact Frame,King Sight K1,Dusk Sight D1,Appended Mag,Light Mag,Auto-Loading Holster,Dragonfly,Glacial Whisper,Tier 2 Weapon,-----,-----,2,1,0,N
trackless waste,Legendary,Submachine Gun,959,Kinetic,Reload Speed,1.0,Adaptive Frame,King Sight K1,Wolf Dot W2,High-Caliber Rounds,Light Mag,Slideways,Kill Clip,Tangled Rust,Tier 1 Weapon,-----,-----,3,1,1,Y
swarm of the raven,Legendary,Grenade Launcher,922,Void,Blast Radius,1.0,Aggressive Frame,Countermass,Hard Launch,Proximity Grenades,Augmented Drum,Threat Detector,Quickdraw,Iron Oxide,Tier 1 Weapon,-----,-----,1,1,1,Y
anonymous autumn,Legendary,Sidearm,950,Solar,Handling,1.0,Lightweight Frame,Control SAS,FarPoint SAS,Alloy Magazine,Appended Mag,Full Auto Trigger System,Rangefinder,Crucible Legacy,Tier 1 Weapon,-----,-----,3,1,0,Y
furina-2mg,Rare,Submachine Gun,960,Void,-----,-----,Lightweight Frame,Fluted Barrel,Tactical Mag,Snapshot Sights,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
philippis-b,Rare,Submachine Gun,960,Kinetic,-----,-----,Precision Frame,GA Post,Accurized Rounds,Dynamic Sway Reduction,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
graviton lance,Exotic,Pulse Rifle,950,Void,-----,-----,Black Hole,Hammer-Forged Rifling,Accurized Rounds,Cosmology,Fitted Stock,Graviton Lance Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
anonymous autumn,Legendary,Sidearm,950,Solar,Handling,2.0,Lightweight Frame,QuickDot SAS,Shortspec SAS,Extended Mag,Ricochet Rounds,Quickdraw,Zen Moment,Crucible Legacy,Tier 2 Weapon,-----,-----,3,0,1,Y
last perdition,Legendary,Pulse Rifle,918,Void,Range,1.0,Adaptive Frame,SLO-12 Post,SPO-57 Front,Accurized Rounds,Appended Mag,Rangefinder,Zen Moment,Crucible Legacy,Tier 1 Weapon,-----,-----,4,0,1,Y
main ingredient,Legendary,Fusion Rifle,948,Arc,Handling,3.0,Precision Frame,Cleanshot IS,Hitmark IS,Red Dot Micro,Particle Repeater,Projection Fuse,Under Pressure,Rampage,Vanguard Veteran,Major Spec,Tier 3 Weapon,3,1,1,Y
dust rock blues,Legendary,Shotgun,949,Kinetic,Reload Speed,2.0,Precision Frame,Rifled Barrel,Smoothbore,Assault Mag,Accurized Rounds,Field Prep,Grave Robber,Tangled Rust,Major Spec,Tier 2 Weapon,-----,3,1,1,Y
smuggler's word,Legendary,Sidearm,947,Kinetic,Handling,2.0,Aggressive Burst,QuickDot SAS,Control SAS,Appended Mag,High-Caliber Rounds,Quickdraw,Opening Shot,Distant Earth,Tier 2 Weapon,-----,-----,4,0,1,Y
azimuth dsu,Rare,Hand Cannon,960,Kinetic,-----,-----,Aggressive Frame,Crossfire HCS,High-Caliber Rounds,Kill Clip,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
bite of the fox,Legendary,Sniper Rifle,948,Kinetic,Reload Speed,2.0,Aggressive Frame,Extended Barrel,Fluted Barrel,Drop Mag,Alloy Magazine,Threat Detector,Opening Shot,Iron Oxide,Tier 2 Weapon,-----,-----,3,0,1,Y
tango-45 xk5094,Legendary,Scout Rifle,959,Solar,Stability,1.0,Precision Frame,SRO-41 Ocular,SPO-57 Front,SPO-28 Front,Drop Mag,Alloy Magazine,Auto-Loading Holster,Dragonfly,Refurbished Black Armory,Tier 1 Weapon,-----,3,1,0,Y
does not compute,Legendary,Scout Rifle,950,Kinetic,Handling,1.0,High-Impact Frame,Cleanshot IS,Red Dot 2 MOA,Tactical Mag,Steady Rounds,Triple Tap,Outlaw,Crucible Legacy,Tier 1 Weapon,-----,-----,4,1,0,Y
the jade rabbit,Exotic,Scout Rifle,950,Kinetic,Stability,10.0,The Fate of All Fools,Polygonal Rifling,Armor-Piercing Rounds,Zen Moment,Jade Rabbit Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
hammerhead,Legendary,Machine Gun,958,Void,Handling,3.0,Adaptive Frame,Corkscrew Rifling,Smallbore,Armor-Piercing Rounds,Ricochet Rounds,Feeding Frenzy,Surrounded,New Age Black Armory,Tier 3 Weapon,Base Radiance,-----,4,1,1,Y
hazard of the cast,Legendary,Auto Rifle,949,Kinetic,Range,3.0,Precision Frame,Corkscrew Rifling,Full Bore,Flared Magwell,Light Mag,Triple Tap,Rampage,Gambit Leather,Tier 3 Weapon,-----,-----,4,1,0,Y
show of force xf4865,Legendary,Sniper Rifle,958,Kinetic,Stability,1.0,Aggressive Frame,ATB Long Range,ATD Raptor,Accurized Rounds,Appended Mag,Snapshot Sights,Ambitious Assassin,Refurbished Black Armory,Tier 1 Weapon,-----,-----,2,1,1,Y
steel sybil z-14,Legendary,Sword,959,Void,Impact,1.0,Adaptive Frame,Honed Edge,Jagged Edge,Tempered Edge,Enduring Guard,Swordmaster's Guard,Relentless Strikes,Whirlwind Blade,Crucible Legacy,Tier 1 Weapon,-----,4,1,0,N
anonymous autumn,Legendary,Sidearm,958,Solar,Reload Speed,1.0,Lightweight Frame,Control SAS,Target SAS,High-Caliber Rounds,Ricochet Rounds,Quickdraw,Under Pressure,Zen Moment,Crucible Legacy,Counterbalance Stock,Tier 1 Weapon,3,0,1,Y
misfit,Legendary,Auto Rifle,955,Arc,Stability,4.0,Rapid-Fire Frame,Dusk Scope D2,King Sight K1,Extended Mag,Armor-Piercing Rounds,Snapshot Sights,Slideways,Distant Earth,Tier 4 Weapon,-----,-----,3,0,1,Y
misfit,Legendary,Auto Rifle,950,Arc,Stability,5.0,Rapid-Fire Frame,Dusk Scope D2,Dusk Sight D1,Extended Mag,Alloy Magazine,Zen Moment,Pulse Monitor,Glacial Whisper,Tier 5 Weapon,-----,-----,3,0,1,Y
wishbringer,Legendary,Shotgun,949,Solar,Reload Speed,2.0,Rapid-Fire Frame,Corkscrew Rifling,Full Choke,Tactical Mag,Steady Rounds,Threat Detector,Rampage,Crucible Legacy,Tier 2 Weapon,-----,-----,4,1,0,Y
go figure,Legendary,Pulse Rifle,945,Kinetic,Reload Speed,4.0,Aggressive Burst,King Sight K1,Dusk Sight D1,High-Caliber Rounds,Light Mag,Zen Moment,Kill Clip,Distant Earth,Tier 4 Weapon,-----,-----,4,1,0,Y
outrageous fortune,Legendary,Grenade Launcher,950,Solar,Velocity,1.0,Aggressive Frame,Countermass,Hard Launch,Proximity Grenades,Sticky Grenades,Rangefinder,Quickdraw,Vanguard Veteran,Tier 1 Weapon,-----,-----,3,1,1,Y
misfit,Legendary,Auto Rifle,948,Arc,Stability,5.0,Rapid-Fire Frame,Wolf Sight W1,Dusk Dot D1,Extended Mag,Light Mag,Dynamic Sway Reduction,High-Impact Reserves,Distant Earth,Tier 5 Weapon,-----,-----,4,1,0,Y
the spiteful fang,Legendary,Combat Bow,951,Kinetic,Reload Speed,1.0,Lightweight Frame,Tactile String,Natural String,Natural Fletching,Straight Fletching,Sneak Bow,Rampage,New Age Black Armory,Tier 1 Weapon,Base Radiance,-----,4,1,0,Y
crimil's dagger,Legendary,Hand Cannon,939,Kinetic,Stability,3.0,Aggressive Frame,Fastdraw HCS,HitMark HCS,Accurized Rounds,Flared Magwell,Outlaw,Zen Moment,Iron Oxide,Tier 3 Weapon,-----,-----,4,1,0,Y
orewing's maul,Legendary,Grenade Launcher,928,Void,Blast Radius,1.0,Lightweight Frame,Confined Launch,Hard Launch,Smart Drift Control,High-Velocity Rounds,Concussion Grenades,Field Prep,Moving Target,Iron Oxide,Tier 1 Weapon,-----,3,1,0,Y
anonymous autumn,Legendary,Sidearm,955,Solar,Stability,1.0,Lightweight Frame,Control SAS,Tactic SAS,Ricochet Rounds,Flared Magwell,Threat Detector,Opening Shot,Crucible Legacy,Tier 1 Weapon,-----,-----,2,0,1,Y
bad news xf4354,Legendary,Hand Cannon,957,Kinetic,Range,1.0,Aggressive Frame,Fastdraw HCS,SteadyHand HCS,Drop Mag,Alloy Magazine,Snapshot Sights,Field Prep,Refurbished Black Armory,Tier 1 Weapon,-----,-----,0,0,1,Y
the wardcliff coil,Exotic,Rocket Launcher,950,Arc,-----,-----,Mad Scientist,Volatile Launch,Extended Mag,Mechanized Autoloader,Composite Stock,Wardcliff Coil Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
atalanta-d xg1992,Legendary,Submachine Gun,958,Kinetic,Reload Speed,1.0,Precision Frame,GB Iron,SC Holo,Appended Mag,Armor-Piercing Rounds,Moving Target,Grave Robber,Refurbished Black Armory,Tier 1 Weapon,-----,-----,3,0,1,Y
distant relation,Legendary,Scout Rifle,956,Solar,Range,3.0,Precision Frame,Arrowhead Brake,Full Bore,Appended Mag,Flared Magwell,Zen Moment,Opening Shot,Gambit Leather,Tier 3 Weapon,-----,-----,1,1,0,Y
lonesome,Legendary,Sidearm,958,Kinetic,Handling,5.0,Precision Frame,Extended Barrel,Hammer-Forged Rifling,Ricochet Rounds,Flared Magwell,Full Auto Trigger System,Demolitionist,Tier 5 Weapon,-----,-----,-----,4,0,1,Y
steel sybil z-14,Legendary,Sword,949,Void,Impact,1.0,Adaptive Frame,Honed Edge,Jagged Edge,Tempered Edge,Enduring Guard,Heavy Guard,Relentless Strikes,Assassin's Blade,Crucible Legacy,Tier 1 Weapon,-----,4,1,0,N
night watch,Legendary,Scout Rifle,949,Kinetic,Handling,3.0,Lightweight Frame,Chambered Compensator,Polygonal Rifling,Appended Mag,Flared Magwell,Rapid Hit,Rampage,Tier 3 Weapon,-----,-----,-----,4,1,0,Y
last perdition,Legendary,Pulse Rifle,959,Void,Stability,1.0,Adaptive Frame,SRO-52 Ocular,SPO-57 Front,Alloy Magazine,Flared Magwell,Moving Target,Snapshot Sights,Crucible Legacy,Tier 1 Weapon,-----,-----,3,0,1,Y
drang,Legendary,Sidearm,901,Solar,Stability,5.0,Adaptive Frame,Smallbore,Rampage,Together Forever,Masterwork Weapon,-----,-----,-----,-----,-----,-----,0,0,0,Y
