Name,light.gg URL,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
seventh seraph carbine,https://www.light.gg/db/items/1561006927,pve,Auto Rifle,Precision Frame,"['Chambered Compensator', 'Extended Barrel', 'Arrowhead Brake', 'Fluted Barrel']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds']","[""Fourth Time's the Charm"", 'Auto-Loading Holster']","['Vorpal Weapon', 'Swashbuckler', 'Rampage']"
seventh seraph carbine,https://www.light.gg/db/items/1561006927,pvp,Auto Rifle,Precision Frame,"['Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Slideshot', 'Threat Detector']","['Vorpal Weapon', 'Elemental Capacitor', 'Rangefinder', 'Moving Target']"
steelfeather repeater,https://www.light.gg/db/items/1251729046,pve,Auto Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell']","['Feeding Frenzy', 'Firmly Planted', 'Grave Robber', 'Subsistence']","['Swashbuckler', 'Multikill Clip', 'Vorpal Weapon']"
steelfeather repeater,https://www.light.gg/db/items/1251729046,pvp,Auto Rifle,Rapid-Fire Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Full Bore']","['High-Caliber Rounds', 'Ricochet Rounds']","['Feeding Frenzy', 'Firmly Planted', 'Slideways']","['Swashbuckler', 'Multikill Clip', 'Vorpal Weapon', 'Elemental Capacitor']"
the doubt,https://www.light.gg/db/items/1099433612,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
the doubt,https://www.light.gg/db/items/1099433612,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
the forward path,https://www.light.gg/db/items/2014642399,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
the forward path,https://www.light.gg/db/items/2014642399,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
the last breath,https://www.light.gg/db/items/1503609584,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
the last breath,https://www.light.gg/db/items/1503609584,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
tigerspite,https://www.light.gg/db/items/640114618,pve,Auto Rifle,Precision Frame,"['Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",['Ricochet Rounds'],['Dynamic Sway Reduction'],['Kill Clip']
tigerspite,https://www.light.gg/db/items/640114618,pvp,Auto Rifle,Precision Frame,[],[],[],[]
accrued redemption,https://www.light.gg/db/items/4095896073,pve,Combat Bow,Precision Frame,"['Polymer String', 'Agile Bowstring', 'Natural String']","['Helical Fletching', 'Straight Fletching', 'Compact Arrow Shaft']","[""Archer's Tempo"", 'Quickdraw']","['Rampage', 'Rapid Hit', 'Explosive Head']"
accrued redemption,https://www.light.gg/db/items/4095896073,pvp,Combat Bow,Precision Frame,"['Polymer String', 'Elastic String', 'Flexible String']","['Helical Fletching', 'Straight Fletching']","[""Archer's Tempo"", 'Rangefinder', 'No Distractions']","['Rampage', 'Rapid Hit', 'Moving Target']"
no turning back,https://www.light.gg/db/items/720351794,pve,Combat Bow,Precision Frame,[],[],[],[]
no turning back,https://www.light.gg/db/items/720351794,pvp,Combat Bow,Precision Frame,[],[],[],[]
the spiteful fang,https://www.light.gg/db/items/421573768,pve,Combat Bow,Lightweight Frame,"['Elastic String', 'Flexible String', 'Polymer String']","['Fiberglass Arrow Shaft', 'Straight Fletching', 'Compact Arrow Shaft']","[""Archer's Tempo"", 'Sneak Bow', 'Snapshot Sights']","['Explosive Head', 'Rampage', 'Hip-Fire Grip']"
the spiteful fang,https://www.light.gg/db/items/421573768,pvp,Combat Bow,Lightweight Frame,"['Elastic String', 'Flexible String', 'Polymer String']","['Fiberglass Arrow Shaft', 'Straight Fletching']","[""Archer's Tempo"", 'Rangefinder', 'Moving Target']","['Explosive Head', 'Rampage', 'Quickdraw']"
the militia's birthright,https://www.light.gg/db/items/3745974521,pve,Grenade Launcher,Lightweight Frame,"['Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'Concussion Grenades', 'Spike Grenades']","['Quickdraw', 'Genesis', 'Ambitious Assassin']",['Rangefinder']
the militia's birthright,https://www.light.gg/db/items/3745974521,pvp,Grenade Launcher,Lightweight Frame,"['Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'Concussion Grenades']",['Quickdraw'],"['Rangefinder', 'Snapshot Sights']"
the mountaintop,https://www.light.gg/db/items/3993415705,pve,Grenade Launcher,Lightweight Frame,[],[],[],[]
the mountaintop,https://www.light.gg/db/items/3993415705,pvp,Grenade Launcher,Lightweight Frame,[],[],[],[]
agamid,https://www.light.gg/db/items/1406475890,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
agamid,https://www.light.gg/db/items/1406475890,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
austringer,https://www.light.gg/db/items/2429822977,pve,Hand Cannon,Adaptive Frame,"['Full Bore', 'Hammer-Forged Rifling', 'Smallbore']","['Accurized Rounds', 'Tactical Mag', 'Appended Mag']","['Outlaw', 'Subsistence', 'Triple Tap']","['Rangefinder', 'Demolitionist', 'Rampage']"
austringer,https://www.light.gg/db/items/2429822977,pvp,Hand Cannon,Adaptive Frame,"['Full Bore', 'Hammer-Forged Rifling', 'Extended Barrel']","['Accurized Rounds', 'Tactical Mag']","['Outlaw', 'Eye of the Storm']","['Rangefinder', 'Demolitionist', 'Opening Shot']"
bad news,https://www.light.gg/db/items/2145476620,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
bad news,https://www.light.gg/db/items/2145476620,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
bad news xf4354,https://www.light.gg/db/items/2824241403,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
bad news xf4354,https://www.light.gg/db/items/2824241403,pvp,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",['Accurized Rounds'],"['Moving Target', 'Outlaw', 'Rangefinder']","['Kill Clip', 'Opening Shot', 'Explosive Payload']"
better devils,https://www.light.gg/db/items/1048266744,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
better devils,https://www.light.gg/db/items/1048266744,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
better devils,https://www.light.gg/db/items/153979397,pve,Hand Cannon,Adaptive Frame,"['Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Flared Magwell', 'Alloy Magazine']","['Outlaw', 'Triple Tap']","['Explosive Payload', 'Kill Clip', 'Zen Moment']"
better devils,https://www.light.gg/db/items/153979397,pvp,Hand Cannon,Adaptive Frame,"['Crossfire HCS', 'Sureshot HCS', 'HitMark HCS']","['Extended Mag', 'Flared Magwell', 'Accurized Rounds', 'Drop Mag']","['Outlaw', 'Moving Target', 'Rangefinder']","['Explosive Payload', 'Opening Shot']"
crimil's dagger,https://www.light.gg/db/items/3649055823,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
crimil's dagger,https://www.light.gg/db/items/3649055823,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
crimil's dagger,https://www.light.gg/db/items/4292849692,pve,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Drop Mag', 'Appended Mag', 'Flared Magwell']",['Outlaw'],"['Kill Clip', 'Zen Moment']"
crimil's dagger,https://www.light.gg/db/items/4292849692,pvp,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",['Accurized Rounds'],"['Outlaw', 'Moving Target', 'Rangefinder']","['Kill Clip', 'Opening Shot', 'Explosive Payload']"
d.f.a.,https://www.light.gg/db/items/4238497225,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
d.f.a.,https://www.light.gg/db/items/4238497225,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
dire promise,https://www.light.gg/db/items/2742838701,pve,Hand Cannon,Lightweight Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds']","['Overflow', 'Triple Tap', 'Auto-Loading Holster']","['Swashbuckler', 'Elemental Capacitor', 'Osmosis']"
dire promise,https://www.light.gg/db/items/2742838701,pvp,Hand Cannon,Lightweight Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS']","['High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell']","['Overflow', 'Opening Shot', 'Snapshot Sights']","['Swashbuckler', 'Elemental Capacitor', 'Rangefinder']"
dire promise,https://www.light.gg/db/items/582335600,pve,Hand Cannon,Lightweight Frame,[],[],[],[]
dire promise,https://www.light.gg/db/items/582335600,pvp,Hand Cannon,Lightweight Frame,[],[],[],[]
duke mk. 44,https://www.light.gg/db/items/2112909414,pve,Hand Cannon,Aggressive Frame,"['Crossfire HCS', 'Sureshot HCS']","['Outlaw', 'Rapid Hit']","['Ricochet Rounds', 'Extended Mag']",['Rampage']
duke mk. 44,https://www.light.gg/db/items/2112909414,pvp,Hand Cannon,Aggressive Frame,"['Crossfire HCS', 'Sureshot HCS', 'HitMark HCS']","['Outlaw', 'Opening Shot', 'Rangefinder']","['Ricochet Rounds', 'Alloy Magazine', 'High-Caliber Rounds']","['Rampage', 'Kill Clip', 'Moving Target']"
home for the lost,https://www.light.gg/db/items/3216383791,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
home for the lost,https://www.light.gg/db/items/3216383791,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
judgment,https://www.light.gg/db/items/2850415209,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
judgment,https://www.light.gg/db/items/2850415209,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
living memory,https://www.light.gg/db/items/2957542878,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
living memory,https://www.light.gg/db/items/2957542878,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
loud lullaby,https://www.light.gg/db/items/3924212056,pve,Hand Cannon,Aggressive Frame,"['Hammer-Forged Rifling', 'Corkscrew Rifling', 'Smallbore']","['Tactical Mag', 'Extended Mag']",['Outlaw'],"['Demolitionist', 'Multikill Clip', 'Rampage']"
loud lullaby,https://www.light.gg/db/items/3924212056,pvp,Hand Cannon,Aggressive Frame,"['Hammer-Forged Rifling', 'Extended Barrel', 'Full Bore']","['Tactical Mag', 'Accurized Rounds']",['Outlaw'],"['Demolitionist', 'Explosive Payload', 'Opening Shot']"
midnight coup,https://www.light.gg/db/items/1128225405,pve,Hand Cannon,Lightweight Frame,[],[],[],[]
midnight coup,https://www.light.gg/db/items/1128225405,pvp,Hand Cannon,Lightweight Frame,[],[],[],[]
pribina-d,https://www.light.gg/db/items/3860697509,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
pribina-d,https://www.light.gg/db/items/3860697509,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
pribina-d,https://www.light.gg/db/items/4211534763,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
pribina-d,https://www.light.gg/db/items/4211534763,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
rose,https://www.light.gg/db/items/2429822976,pve,Hand Cannon,Lightweight Frame,[],[],[],[]
rose,https://www.light.gg/db/items/2429822976,pvp,Hand Cannon,Lightweight Frame,[],[],[],[]
service revolver,https://www.light.gg/db/items/2171006181,pve,Hand Cannon,Precision Frame,[],[],[],[]
service revolver,https://www.light.gg/db/items/2171006181,pvp,Hand Cannon,Precision Frame,[],[],[],[]
service revolver,https://www.light.gg/db/items/834081972,pve,Hand Cannon,Precision Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Extended Mag', 'Appended Mag', 'High-Caliber Rounds', 'Light Mag']","['Outlaw', 'Rapid Hit', 'Triple Tap']","['Kill Clip', 'Rampage']"
service revolver,https://www.light.gg/db/items/834081972,pvp,Hand Cannon,Precision Frame,"['Crossfire HCS', 'Sureshot HCS']","['Ricochet Rounds', 'Accurized Rounds']","['Outlaw', 'Moving Target', 'Rangefinder']","['Kill Clip', 'Zen Moment', 'Opening Shot']"
seventh seraph officer revolver,https://www.light.gg/db/items/3037520408,pve,Hand Cannon,Precision Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Smallbore']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Threat Detector', 'Ambitious Assassin', ""Fourth Time's the Charm""]","['Feeding Frenzy', 'High-Impact Reserves', 'Multikill Clip']"
seventh seraph officer revolver,https://www.light.gg/db/items/3037520408,pvp,Hand Cannon,Precision Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Smallbore', 'Chambered Compensator', 'Polygonal Rifling']","['Appended Mag', 'Tactical Mag', 'Steady Rounds', 'Flared Magwell']","['Threat Detector', 'Firmly Planted']","['Feeding Frenzy', 'Vorpal Weapon', 'Timed Payload']"
spare rations,https://www.light.gg/db/items/3116356268,pve,Hand Cannon,Lightweight Frame,"['Hammer-Forged Rifling', 'Corkscrew Rifling', 'Fluted Barrel']","['High-Caliber Rounds', 'Appended Mag', 'Flared Magwell']","['Rapid Hit', ""Fourth Time's the Charm""]","['Kill Clip', 'Rampage', 'Multikill Clip']"
spare rations,https://www.light.gg/db/items/3116356268,pvp,Hand Cannon,Lightweight Frame,"['Hammer-Forged Rifling', 'Full Bore', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Rapid Hit', 'Snapshot Sights']","['Kill Clip', 'Slideshot', 'Rangefinder', 'Moving Target']"
ten paces,https://www.light.gg/db/items/2112909415,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
ten paces,https://www.light.gg/db/items/2112909415,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
the old fashioned,https://www.light.gg/db/items/1706536806,pve,Hand Cannon,Adaptive Frame,[],[],[],[]
the old fashioned,https://www.light.gg/db/items/1706536806,pvp,Hand Cannon,Adaptive Frame,[],[],[],[]
the old fashioned,https://www.light.gg/db/items/3569802112,pve,Hand Cannon,Adaptive Frame,"['HitMark HCS', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Slideshot', 'Demolitionist', 'Feeding Frenzy']","['Kill Clip', 'Snapshot Sights', 'Explosive Payload', 'Surrounded']"
the old fashioned,https://www.light.gg/db/items/3569802112,pvp,Hand Cannon,Adaptive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Slideshot', 'Demolitionist', 'Feeding Frenzy', 'Firmly Planted', 'Quickdraw']","['Kill Clip', 'Snapshot Sights', 'Explosive Payload', 'Moving Target']"
the steady hand,https://www.light.gg/db/items/1189790632,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
the steady hand,https://www.light.gg/db/items/1189790632,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
true prophecy,https://www.light.gg/db/items/408440598,pve,Hand Cannon,Aggressive Frame,[],[],[],[]
true prophecy,https://www.light.gg/db/items/408440598,pvp,Hand Cannon,Aggressive Frame,[],[],[],[]
true prophecy,https://www.light.gg/db/items/2742838700,pve,Hand Cannon,Aggressive Frame,"['Fastdraw HCS', 'TrueSight HCS', 'SteadyHand HCS']","['Tactical Mag', 'Drop Mag', 'Appended Mag']","['Overflow', 'Grave Robber']","['Demolitionist', 'Elemental Capacitor', 'Rampage']"
true prophecy,https://www.light.gg/db/items/2742838700,pvp,Hand Cannon,Aggressive Frame,"['Fastdraw HCS', 'TrueSight HCS', 'HitMark HCS']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']","['Overflow', 'Rangefinder', 'Opening Shot']","['Demolitionist', 'Elemental Capacitor', 'Timed Payload', 'Explosive Payload']"
warden's law,https://www.light.gg/db/items/233423981,pve,Hand Cannon,Double Fire,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Drop Mag', 'Tactical Mag', 'Steady Rounds', 'Flared Magwell']","['Kill Clip', 'Rampage', 'Zen Moment']",[]
warden's law,https://www.light.gg/db/items/233423981,pvp,Hand Cannon,Double Fire,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Drop Mag', 'Accurized Rounds']","['Kill Clip', 'Rampage', 'Opening Shot']","['Moving Target', 'Rangefinder']"
west of sunfall 7,https://www.light.gg/db/items/3285365667,pve,Hand Cannon,Precision Frame,[],[],[],[]
west of sunfall 7,https://www.light.gg/db/items/3285365667,pvp,Hand Cannon,Precision Frame,[],[],[],[]
autumn wind,https://www.light.gg/db/items/1674742470,pve,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
autumn wind,https://www.light.gg/db/items/1674742470,pvp,Pulse Rifle,Rapid-Fire Frame,[],[],[],[]
battle scar,https://www.light.gg/db/items/1178397319,pve,Pulse Rifle,Lightweight Frame,[],[],[],[]
battle scar,https://www.light.gg/db/items/1178397319,pvp,Pulse Rifle,Lightweight Frame,[],[],[],[]
blast furnace,https://www.light.gg/db/items/3843477312,pve,Pulse Rifle,Aggressive Burst,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'Tactical Mag', 'Drop Mag', 'Extended Mag', 'Flared Magwell']","['Outlaw', 'Feeding Frenzy', 'Quickdraw']","['Kill Clip', 'Rampage', 'High-Impact Reserves']"
blast furnace,https://www.light.gg/db/items/3843477312,pvp,Pulse Rifle,Aggressive Burst,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Outlaw', 'Feeding Frenzy', 'Zen Moment']","['Kill Clip', 'Rampage', 'Headseeker']"
bygones,https://www.light.gg/db/items/2712244741,pve,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Rampage', 'Kill Clip', 'High-Impact Reserves']","['Full Auto Trigger System', 'Outlaw']"
bygones,https://www.light.gg/db/items/2712244741,pvp,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Polygonal Rifling']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Rampage', 'Opening Shot', 'Rangefinder']","['Full Auto Trigger System', 'Outlaw', 'Slideshot']"
chattering bone,https://www.light.gg/db/items/568515759,pve,Pulse Rifle,Lightweight Frame,"['Corkscrew Rifling', 'Extended Barrel']","['Ricochet Rounds', 'Light Mag']",['Outlaw'],"['Rampage', 'High-Impact Reserves']"
chattering bone,https://www.light.gg/db/items/568515759,pvp,Pulse Rifle,Lightweight Frame,[],[],[],[]
disrespectful stare,https://www.light.gg/db/items/1513927137,pve,Pulse Rifle,High-Impact Frame,[],[],[],[]
disrespectful stare,https://www.light.gg/db/items/1513927137,pvp,Pulse Rifle,High-Impact Frame,[],[],[],[]
eternal slumber,https://www.light.gg/db/items/1523647826,pve,Pulse Rifle,Adaptive Frame,[],[],[],[]
