Name,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Season,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Perks 5,"Sum (Mob,Rec,Str)","Sum (Rec,Int,Dis)"
Tangled Web Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,1.0,4,2,11,13,7,2,17,52,,,32,22
Vigil of Heroes,Legendary,Chest Armor,Titan,961,Solar Energy Capacity,1.0,9,10,7,7,13,6,9,52,dawn,,26,26
Righteous Plate,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,2.0,9,2,6,17,17,8,2,52,dawn,,21,42
Mimetic Savior Gauntlets,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,1.0,4,11,13,2,6,6,10,48,,,23,14
Mimetic Savior Gauntlets,Legendary,Gauntlets,Titan,962,Arc Energy Capacity,1.0,4,18,6,2,2,16,8,52,,,28,20
Opulent Duelist Greaves,Legendary,Leg Armor,Titan,948,Solar Energy Capacity,3.0,7,7,6,13,8,6,12,52,opulent,,32,27
Iron Truage Gauntlets,Legendary,Gauntlets,Titan,959,Arc Energy Capacity,1.0,9,19,2,6,9,2,19,57,dawn,,44,17
Forged Machinist Plate,Legendary,Chest Armor,Titan,959,Solar Energy Capacity,2.0,5,17,6,2,2,10,10,47,forge,,29,14
Peacekeepers,Exotic,Leg Armor,Titan,950,Solar Energy Capacity,1.0,1,7,7,12,6,12,6,50,,,25,30
Prodigal Gauntlets,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,4.0,4,13,2,12,7,11,7,52,,,32,30
Tangled Web Plate,Legendary,Chest Armor,Titan,950,Solar Energy Capacity,6.0,4,2,7,19,12,12,2,54,,,23,43
Prodigal Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,1.0,4,2,2,22,18,6,2,52,,,26,46
Tangled Web Plate,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,2.0,4,2,12,13,6,7,12,52,,,27,26
Mimetic Savior Plate,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,2.0,4,2,12,13,12,2,12,53,,,27,27
Midnight Exigent Plate,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,4.0,3,12,11,2,6,17,2,50,,,16,25
Ancient Apocalypse Plate,Legendary,Chest Armor,Titan,962,Solar Energy Capacity,1.0,9,8,2,18,6,16,2,52,dawn,,28,40
Khepri's Horn,Exotic,Helmet,Titan,960,Arc Energy Capacity,1.0,2,6,21,3,2,16,11,59,,,20,21
Notorious Sentry Helm,Legendary,Helmet,Titan,959,Void Energy Capacity,4.0,6,2,17,12,12,7,9,59,,,23,31
Wing Discipline,Legendary,Helmet,Titan,960,Void Energy Capacity,6.0,9,7,2,18,11,2,16,56,dawn,,41,31
Outlawed Reaper Gauntlets,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,2.0,6,15,7,6,8,6,13,55,,,34,20
Aeon Safe,Exotic,Gauntlets,Titan,961,Void Energy Capacity,5.0,2,13,8,12,2,15,13,63,,,38,29
Iron Truage Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,1.0,9,15,6,9,8,2,18,58,dawn,,42,19
Mark of Confrontation,Rare,Titan Mark,Titan,960,Arc Energy Capacity,5.0,4,0,0,0,0,0,0,0,,,0,0
Dunemarchers,Exotic,Leg Armor,Titan,960,Arc Energy Capacity,1.0,1,9,21,2,13,7,8,60,,,19,22
One-Eyed Mask,Exotic,Helmet,Titan,960,Solar Energy Capacity,2.0,4,7,7,16,6,2,22,60,,,45,24
Peregrine Greaves,Exotic,Leg Armor,Titan,961,Solar Energy Capacity,5.0,7,14,3,14,14,6,9,60,,,37,34
Dunemarchers,Exotic,Leg Armor,Titan,924,Arc Energy Capacity,1.0,1,13,7,6,6,6,12,50,,,31,18
Reverie Dawn Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,5.0,4,11,7,7,7,2,17,51,outlaw,Upgrade Armor*,35,16
Peacekeepers,Exotic,Leg Armor,Titan,960,Void Energy Capacity,1.0,1,14,3,12,13,2,13,57,,,39,27
Legion-Bane,Rare,Leg Armor,Titan,959,Arc Energy Capacity,5.0,4,16,6,2,12,2,12,50,,,30,16
Tangled Web Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,2.0,4,2,14,12,6,6,11,51,,,25,24
Iron Truage Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,2.0,9,10,8,10,2,2,25,57,dawn,,45,14
Illicit Sentry Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,2.0,6,10,7,11,16,2,7,53,,,28,29
Phoenix Strife Type 0,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,6.0,7,10,2,13,25,2,2,54,undying,,25,40
Illicit Sentry Gauntlets,Legendary,Gauntlets,Titan,957,Solar Energy Capacity,2.0,6,10,6,7,2,11,11,47,,,28,20
Prodigal Gauntlets,Legendary,Gauntlets,Titan,957,Solar Energy Capacity,6.0,4,6,2,19,6,6,15,54,,,40,31
Prodigal Gauntlets,Legendary,Gauntlets,Titan,962,Arc Energy Capacity,2.0,4,6,13,7,18,2,6,52,,,19,27
Forged Machinist Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,1.0,5,8,2,19,11,7,7,54,forge,,34,37
Devastation Complex,Legendary,Gauntlets,Titan,957,Void Energy Capacity,6.0,1,6,6,11,2,23,2,50,,,19,36
Forged Machinist Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,2.0,5,2,9,18,12,10,2,53,forge,,22,40
Ancient Apocalypse Helm,Legendary,Helmet,Titan,959,Arc Energy Capacity,1.0,9,12,6,7,14,12,2,53,dawn,,21,33
Opulent Duelist Helm,Legendary,Helmet,Titan,955,Void Energy Capacity,8.0,7,6,19,2,8,14,7,56,opulent,,15,24
Prodigal Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,2.0,4,0,0,0,0,0,0,0,,,0,0
Forged Machinist Greaves,Legendary,Leg Armor,Titan,958,Solar Energy Capacity,3.0,5,12,2,12,6,17,2,51,forge,,26,35
Tangled Web Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,2.0,4,6,6,13,11,6,8,50,,,27,30
Vigil of Heroes,Legendary,Gauntlets,Titan,962,Arc Energy Capacity,1.0,9,9,13,6,11,7,6,52,dawn,,21,24
Helm of Saint-14,Exotic,Helmet,Titan,909,Void Energy Capacity,2.0,2,8,7,15,6,19,2,57,,,25,40
One-Eyed Mask,Exotic,Helmet,Titan,949,Void Energy Capacity,1.0,4,6,7,13,6,6,10,48,,,29,25
Heart of Inmost Light,Exotic,Chest Armor,Titan,961,Arc Energy Capacity,3.0,4,19,3,8,8,10,8,56,,,35,26
Eternal Warrior,Exotic,Helmet,Titan,904,Arc Energy Capacity,1.0,3,16,12,2,2,8,18,58,,,36,12
An Insurmountable Skullfort,Exotic,Helmet,Titan,910,Void Energy Capacity,1.0,1,7,9,15,18,2,10,61,,,32,35
Phoenix Strife Type 0,Legendary,Gauntlets,Titan,960,Void Energy Capacity,5.0,7,2,2,22,6,2,16,50,undying,,40,30
Opulent Duelist Greaves,Legendary,Leg Armor,Titan,955,Solar Energy Capacity,2.0,7,6,8,13,2,10,11,50,opulent,,30,25
Tangled Web Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,4.0,4,15,2,12,2,2,24,57,,,51,16
Prodigal Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,2.0,4,16,7,2,9,12,6,52,,,24,23
Mimetic Savior Gauntlets,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,6.0,4,7,2,16,2,22,2,51,,,25,40
Wing Discipline,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,5.0,9,19,2,6,8,2,16,53,dawn,,41,16
Antaeus Wards,Exotic,Leg Armor,Titan,958,Arc Energy Capacity,1.0,4,14,2,14,14,8,8,60,,,36,36
Forged Machinist Plate,Legendary,Chest Armor,Titan,959,Solar Energy Capacity,1.0,5,12,10,2,2,2,22,50,forge,,36,6
Ancient Apocalypse Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,6.0,9,17,6,2,2,2,22,51,dawn,,41,6
Prodigal Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,5.0,4,7,6,12,2,2,23,52,,,42,16
Righteous Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,3.0,9,16,2,12,7,7,11,55,dawn,,39,26
Crest of Alpha Lupi,Exotic,Chest Armor,Titan,960,Solar Energy Capacity,5.0,1,9,10,14,6,19,2,60,,,25,39
Ancient Apocalypse Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,4.0,9,12,11,2,18,7,2,52,dawn,,16,27
Righteous Gauntlets,Legendary,Gauntlets,Titan,959,Solar Energy Capacity,1.0,9,10,6,7,6,2,18,49,dawn,,35,15
Righteous Gauntlets,Legendary,Gauntlets,Titan,957,Arc Energy Capacity,2.0,9,2,2,22,8,10,10,54,dawn,,34,40
Stronghold,Exotic,Gauntlets,Titan,962,Solar Energy Capacity,2.0,6,2,15,14,14,13,2,60,,,18,41
Opulent Duelist Greaves,Legendary,Leg Armor,Titan,958,Arc Energy Capacity,7.0,7,7,2,20,2,17,6,54,opulent,,33,39
Tangled Web Greaves,Legendary,Leg Armor,Titan,959,Solar Energy Capacity,6.0,4,7,6,13,2,2,22,52,,,42,17
Illicit Collector Plate,Legendary,Chest Armor,Titan,958,Solar Energy Capacity,3.0,6,7,16,2,12,6,8,51,,,17,20
Aeon Safe,Exotic,Gauntlets,Titan,962,Solar Energy Capacity,1.0,2,8,9,12,7,19,2,57,,,22,38
Outlawed Reaper Mark,Legendary,Titan Mark,Titan,960,Arc Energy Capacity,4.0,6,0,0,0,0,0,0,0,,,0,0
Righteous Mark,Legendary,Titan Mark,Titan,960,Solar Energy Capacity,1.0,9,0,0,0,0,0,0,0,dawn,,0,0
Ancient Apocalypse Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,1.0,9,2,17,6,7,6,11,49,dawn,,19,19
Righteous Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,3.0,9,0,0,0,0,0,0,0,dawn,,0,0
Righteous Mark,Legendary,Titan Mark,Titan,960,Arc Energy Capacity,3.0,9,0,0,0,0,0,0,0,dawn,,0,0
Crest of Alpha Lupi,Exotic,Chest Armor,Titan,960,Solar Energy Capacity,4.0,1,3,14,17,19,2,6,61,,,26,38
Prodigal Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,8.0,4,8,2,16,17,7,2,52,,,26,40
Righteous Greaves,Legendary,Leg Armor,Titan,959,Void Energy Capacity,1.0,9,6,6,12,7,16,2,49,dawn,,20,35
Prodigal Greaves,Legendary,Leg Armor,Titan,958,Void Energy Capacity,8.0,4,16,2,8,2,7,16,51,,,40,17
Opulent Duelist Gauntlets,Legendary,Gauntlets,Titan,955,Void Energy Capacity,5.0,7,7,12,7,12,12,2,52,opulent,,16,31
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,1.0,4,12,6,12,8,12,6,56,,,30,32
Righteous Greaves,Legendary,Leg Armor,Titan,959,Solar Energy Capacity,2.0,9,12,6,6,2,6,17,49,dawn,,35,14
Righteous Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,1.0,9,6,2,18,2,2,22,52,dawn,,46,22
Tangled Web Greaves,Legendary,Leg Armor,Titan,958,Void Energy Capacity,6.0,4,10,2,11,2,2,22,49,,,43,15
Tangled Web Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,1.0,4,2,22,2,12,6,6,50,,,10,20
Eternal Warrior,Exotic,Helmet,Titan,959,Solar Energy Capacity,2.0,3,19,12,2,14,11,2,60,,,23,27
Prodigal Gauntlets,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,1.0,4,7,2,16,9,6,10,50,,,33,31
Forged Machinist Helm,Legendary,Helmet,Titan,957,Arc Energy Capacity,5.0,5,12,2,12,17,7,2,52,forge,,26,36
Heart of Inmost Light,Exotic,Chest Armor,Titan,960,Arc Energy Capacity,4.0,4,8,9,13,9,2,19,60,,,40,24
Mask of the Quiet One,Exotic,Helmet,Titan,949,Void Energy Capacity,8.0,1,6,8,10,6,6,12,48,,,28,22
Ancient Apocalypse Plate,Legendary,Chest Armor,Titan,962,Solar Energy Capacity,3.0,9,12,2,13,12,7,6,52,dawn,,31,32
Tangled Web Gauntlets,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,2.0,4,8,10,7,11,2,13,51,,,28,20
Tangled Web Plate,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,7.0,4,2,6,16,24,2,2,52,,,20,42
Crest of Alpha Lupi,Exotic,Chest Armor,Titan,960,Solar Energy Capacity,2.0,1,8,14,11,12,2,14,61,,,33,25
Doom Fang Pauldron,Exotic,Gauntlets,Titan,908,Void Energy Capacity,2.0,1,19,3,12,14,8,6,62,,,37,34
Mask of the Quiet One,Exotic,Helmet,Titan,958,Void Energy Capacity,6.0,1,12,10,6,10,9,9,56,,,27,25
Synthoceps,Exotic,Gauntlets,Titan,936,Void Energy Capacity,4.0,1,6,21,3,7,2,21,60,,,30,12
Aeon Safe,Exotic,Gauntlets,Titan,950,Solar Energy Capacity,1.0,2,9,9,12,20,9,2,61,,,23,41
Ashen Wake,Exotic,Gauntlets,Titan,910,Solar Energy Capacity,1.0,3,6,8,10,12,6,6,48,,,22,28
Opulent Duelist Plate,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,2.0,7,6,6,15,12,2,12,53,opulent,,33,29
Wormgod Caress,Exotic,Gauntlets,Titan,935,Void Energy Capacity,3.0,3,11,13,9,6,15,10,64,,,30,30
Midnight Exigent Plate,Legendary,Chest Armor,Titan,959,Arc Energy Capacity,2.0,3,13,7,6,11,2,12,51,,,31,19
Ursa Furiosa,Exotic,Gauntlets,Titan,949,Void Energy Capacity,1.0,4,6,14,6,6,12,6,50,,,18,24
ACD/0 Feedback Fence,Exotic,Gauntlets,Titan,901,Arc Energy Capacity,1.0,1,2,12,10,6,6,12,48,,,24,22
Prodigal Cuirass,Legendary,Chest Armor,Titan,960,Void Energy Capacity,6.0,4,7,9,14,2,2,23,57,,,44,18
Hardcase Helm,Rare,Helmet,Titan,960,Void Energy Capacity,5.0,4,2,6,17,2,6,17,50,,,36,25
