Name,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
the old fashioned,pve,Hand Cannon,Adaptive Frame,"['HitMark HCS', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Slideshot', 'Demolitionist', 'Feeding Frenzy']","['Kill Clip', 'Snapshot Sights', 'Explosive Payload', 'Surrounded']"
the old fashioned,pvp,Hand Cannon,Adaptive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Slideshot', 'Demolitionist', 'Feeding Frenzy', 'Firmly Planted', 'Quickdraw']","['Kill Clip', 'Snapshot Sights', 'Explosive Payload', 'Moving Target']"
warden's law,pve,Hand Cannon,Double Fire,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Drop Mag', 'Tactical Mag', 'Steady Rounds', 'Flared Magwell']","['Kill Clip', 'Rampage', 'Zen Moment']",[]
warden's law,pvp,Hand Cannon,Double Fire,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']","['Drop Mag', 'Accurized Rounds']","['Kill Clip', 'Rampage', 'Opening Shot']","['Moving Target', 'Rangefinder']"
blast furnace,pve,Pulse Rifle,Aggressive Burst,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'Tactical Mag', 'Drop Mag', 'Extended Mag', 'Flared Magwell']","['Outlaw', 'Feeding Frenzy', 'Quickdraw']","['Kill Clip', 'Rampage', 'High-Impact Reserves']"
blast furnace,pvp,Pulse Rifle,Aggressive Burst,"['Rasmussen ISA', 'Meyrin RDS', 'Meyrin RDL']","['Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Outlaw', 'Feeding Frenzy', 'Zen Moment']","['Kill Clip', 'Rampage', 'Headseeker']"
bygones,pve,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Extended Barrel', 'Fluted Barrel', 'Smallbore']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Rampage', 'Kill Clip', 'High-Impact Reserves']","['Full Auto Trigger System', 'Outlaw']"
bygones,pvp,Pulse Rifle,Adaptive Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Polygonal Rifling']","['Extended Mag', 'High-Caliber Rounds', 'Ricochet Rounds']","['Rampage', 'Opening Shot', 'Rangefinder']","['Full Auto Trigger System', 'Outlaw', 'Slideshot']"
chattering bone,pve,Pulse Rifle,Lightweight Frame,"['Corkscrew Rifling', 'Extended Barrel']","['Ricochet Rounds', 'Light Mag']",['Outlaw'],"['Rampage', 'High-Impact Reserves']"
eystein-d,pve,Pulse Rifle,High-Impact Frame,"['GB Iron', 'SC Holo']","['Flared Magwell', 'Alloy Magazine', 'Light Mag']","['Firmly Planted', 'Under Pressure', 'Outlaw']","['Zen Moment', 'Rampage', 'Kill Clip', 'Full Auto Trigger System']"
eystein-d,pvp,Pulse Rifle,High-Impact Frame,"['GB Iron', 'SC Holo']","['Flared Magwell', 'High-Caliber Rounds']","['Firmly Planted', 'Under Pressure', 'Moving Target']","['Zen Moment', 'Snapshot Sights', 'Headseeker']"
go figure,pve,Pulse Rifle,Aggressive Burst,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Flared Magwell']","['Firmly Planted', 'Zen Moment', 'Outlaw']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
go figure,pvp,Pulse Rifle,Aggressive Burst,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['High-Caliber Rounds', 'Flared Magwell']","['Firmly Planted', 'Zen Moment', 'Moving Target']","['Rampage', 'Rangefinder', 'Headseeker']"
nightshade,pve,Pulse Rifle,Lightweight Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Appended Mag', 'Extended Mag', 'Flared Magwell']","['Outlaw', 'Ambitious Assassin']","['Rampage', 'Kill Clip', 'Full Auto Trigger System']"
nightshade,pvp,Pulse Rifle,Lightweight Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']","['Outlaw', 'Rangefinder', 'Moving Target']","['Rampage', 'Kill Clip', 'Headseeker', 'Zen Moment']"
sacred provenance,pve,Pulse Rifle,Aggressive Burst,"['Arrowhead Brake', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag', 'Extended Mag']","['Rapid Hit', 'Outlaw', 'Full Auto Trigger System']","['Kill Clip', 'Quickdraw']"
sacred provenance,pvp,Pulse Rifle,Aggressive Burst,"['Arrowhead Brake', 'Smallbore', 'Full Bore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Rapid Hit', 'Outlaw']","['Kill Clip', 'Quickdraw', 'Snapshot Sights']"
does not compute,pve,Scout Rifle,High-Impact Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Alloy Magazine']","['Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Kill Clip', 'Rampage']"
does not compute,pvp,Scout Rifle,High-Impact Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Kill Clip', 'Explosive Payload', 'Opening Shot']"
imperative,pve,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds', 'Appended Mag', 'Flared Magwell']","['Eye of the Storm', 'Outlaw', 'Triple Tap']","['Explosive Payload', 'Rampage', 'Multikill Clip']"
imperative,pvp,Scout Rifle,High-Impact Frame,"['Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling']","['Tactical Mag', 'Steady Rounds', 'Accurized Rounds']","['Eye of the Storm', 'Outlaw', 'No Distractions']","['Explosive Payload', 'Rampage', 'Opening Shot']"
nameless midnight,pve,Scout Rifle,Precision Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro', 'Red Dot 2 MOA']","['Tactical Mag', 'Steady Rounds', 'Extended Mag', 'Flared Magwell']","['Triple Tap', 'High-Impact Reserves']","['Outlaw', 'Rampage', 'Explosive Payload', 'Kill Clip']"
nameless midnight,pvp,Scout Rifle,Precision Frame,"['Cleanshot IS', 'Hitmark IS', 'Red Dot Micro']","['Tactical Mag', 'Steady Rounds']","['Zen Moment', 'Moving Target']","['Outlaw', 'Rampage', 'Opening Shot']"
night watch,pve,Scout Rifle,Lightweight Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Fluted Barrel']","['Tactical Mag', 'Appended Mag']","['Outlaw', 'Rapid Hit', 'Subsistence']","['Explosive Payload', 'Rampage', 'Multikill Clip']"
night watch,pvp,Scout Rifle,Lightweight Frame,"['Arrowhead Brake', 'Extended Barrel']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds', 'Flared Magwell']","['Outlaw', 'Rapid Hit']","['Explosive Payload', 'Moving Target', 'Demolitionist']"
patron of lost causes,pve,Scout Rifle,Lightweight Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Corkscrew Rifling']","['Tactical Mag', 'Appended Mag']","['Rapid Hit', 'Full Auto Trigger System']","['Vorpal Weapon', 'Explosive Payload', 'Osmosis']"
patron of lost causes,pvp,Scout Rifle,Lightweight Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Fluted Barrel']","['Tactical Mag', 'Accurized Rounds', 'Steady Rounds']",['Rapid Hit'],"['Vorpal Weapon', 'Explosive Payload', 'Opening Shot']"
talons of the eagle,pve,Scout Rifle,High-Impact Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds']","['Zen Moment', 'Outlaw', 'Full Auto Trigger System']","['Rampage', 'Explosive Payload']"
talons of the eagle,pvp,Scout Rifle,High-Impact Frame,"['Arrowhead Brake', 'Corkscrew Rifling', 'Fluted Barrel']",['Tactical Mag'],['Zen Moment'],"['Opening Shot', 'Moving Target']"
transfiguration,pve,Scout Rifle,High-Impact Frame,"['Fluted Barrel', 'Polygonal Rifling']","['Tactical Mag', 'Steady Rounds']",['Rampage'],['Kill Clip']
baligant xu7743,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag']","['Slideshot', 'Threat Detector', 'Full Auto Trigger System']","['Rampage', 'Outlaw', 'Auto-Loading Holster']"
baligant xu7743,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],['Slideshot'],"['Rampage', 'Snapshot Sights', 'Moving Target']"
dust rock blues,pve,Shotgun,Precision Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Slideshot', 'Threat Detector']","['Rampage', 'Grave Robber', 'Full Auto Trigger System']"
dust rock blues,pvp,Shotgun,Precision Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Slideshot', 'Threat Detector', 'Moving Target']","['Rampage', 'Grave Robber', 'Full Auto Trigger System']"
hawthorne's field-forged shotgun,pve,Shotgun,Lightweight Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Assault Mag', 'Tactical Mag', 'Light Mag']","['Full Auto Trigger System', 'Grave Robber', 'Field Prep']","['Demolitionist', 'One-Two Punch', 'Surrounded']"
hawthorne's field-forged shotgun,pvp,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Accurized Rounds']","['Full Auto Trigger System', 'Grave Robber']","['Demolitionist', 'One-Two Punch', 'Opening Shot']"
imperial decree,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke', 'Smallbore', 'Corkscrew Rifling']","['Accurized Rounds', 'Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag']","['Feeding Frenzy', 'Grave Robber', 'Full Auto Trigger System']","['Swashbuckler', 'Rampage', 'Trench Barrel']"
imperial decree,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Feeding Frenzy', 'Slideshot']","['Swashbuckler', 'Rampage', 'Snapshot Sights']"
one small step,pve,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Quickdraw', 'Grave Robber', 'Auto-Loading Holster']","['One-Two Punch', 'Rampage']"
one small step,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']","['Accurized Rounds', 'Light Mag']",['Quickdraw'],"['One-Two Punch', 'Snapshot Sights', 'Opening Shot']"
parcel of stardust,pve,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']","['Accurized Rounds', 'Assault Mag', 'Appended Mag', 'Tactical Mag']","['Opening Shot', 'Full Auto Trigger System', 'Threat Detector']","['Rampage', 'Outlaw']"
parcel of stardust,pvp,Shotgun,Lightweight Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Opening Shot', 'Full Auto Trigger System', 'Slideshot']","['Rampage', 'Moving Target']"
perfect paradox,pve,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Light Mag']","['Demolitionist', 'Slideshot', 'Field Prep']","['Swashbuckler', 'Trench Barrel', 'One-Two Punch']"
perfect paradox,pvp,Shotgun,Rapid-Fire Frame,"['Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Rifled Barrel', 'Full Choke']","['Appended Mag', 'Tactical Mag', 'Accurized Rounds']","['Demolitionist', 'Slideshot', 'Field Prep']","['Swashbuckler', 'Trench Barrel', 'One-Two Punch', 'Rampage', 'Opening Shot']"
threat level,pve,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag']","['Rampage', 'Slideshot', 'Trench Barrel', 'Surrounded']","['Grave Robber', 'Quickdraw', 'Threat Detector']"
threat level,pvp,Shotgun,Rapid-Fire Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Rampage', 'Slideshot', 'Moving Target']","['Grave Robber', 'Quickdraw', 'Snapshot Sights']"
toil and trouble,pve,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']","['Assault Mag', 'Appended Mag', 'Tactical Mag']","['Slideshot', 'Full Auto Trigger System']","['Rampage', 'Outlaw', 'Auto-Loading Holster']"
toil and trouble,pvp,Shotgun,Aggressive Frame,"['Rifled Barrel', 'Full Choke']",['Accurized Rounds'],"['Slideshot', 'Full Auto Trigger System', 'Threat Detector']","['Rampage', 'Moving Target']"
breachlight,pve,Sidearm,Aggressive Burst,"['Hammer-Forged Rifling', 'Smallbore', 'Fluted Barrel']","['Appended Mag', 'Tactical Mag']","['Demolitionist', 'Outlaw']","['Vorpal Weapon', 'Quickdraw', 'Multikill Clip', 'Osmosis']"
breachlight,pvp,Sidearm,Aggressive Burst,"['Hammer-Forged Rifling', 'Smallbore', 'Polygonal Rifling']","['Appended Mag', 'Accurized Rounds', 'Steady Rounds']","['Demolitionist', 'Outlaw']","['Vorpal Weapon', 'Quickdraw', 'Multikill Clip']"
lonesome,pve,Sidearm,Precision Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Alloy Magazine', 'Appended Mag', 'Flared Magwell']","['Full Auto Trigger System', 'Zen Moment', 'Outlaw', 'Rapid Hit']","['Demolitionist', 'Kill Clip', 'Swashbuckler', 'Multikill Clip']"
lonesome,pvp,Sidearm,Precision Frame,"['Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Full Auto Trigger System', 'Zen Moment', 'Grave Robber']","['Demolitionist', 'Kill Clip', 'Opening Shot']"
smuggler's word,pve,Sidearm,Aggressive Burst,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['High-Caliber Rounds', 'Extended Mag', 'Alloy Magazine']","['Full Auto Trigger System', 'Outlaw']","['Kill Clip', 'Rampage']"
smuggler's word,pvp,Sidearm,Aggressive Burst,"['Control SAS', 'Shortspec SAS', 'Target SAS']","['High-Caliber Rounds', 'Ricochet Rounds']","['Moving Target', 'Quickdraw']","['Rangefinder', 'Tap the Trigger', 'Opening Shot']"
bite of the fox,pve,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell']",['Rapid Hit'],['Rampage']
bite of the fox,pvp,Sniper Rifle,Aggressive Frame,"['Arrowhead Brake', 'Fluted Barrel', 'Polygonal Rifling']","['Appended Mag', 'Tactical Mag', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell', 'Drop Mag']","['Rapid Hit', 'Snapshot Sights']","['Explosive Payload', 'Moving Target', 'Opening Shot']"
dreaded venture,pve,Sniper Rifle,Aggressive Frame,['Hammer-Forged Rifling'],['Accurized Rounds'],['Explosive Payload'],[]
long shadow,pve,Sniper Rifle,Adaptive Frame,"['ATA Scout', 'ATC Rex']","['Appended Mag', 'Extended Mag', 'Alloy Magazine']","['Firmly Planted', 'Rapid Hit', 'Field Prep']","['Rampage', 'Outlaw', 'Triple Tap']"
long shadow,pvp,Sniper Rifle,Adaptive Frame,"['ATA Scout', 'ATC Rex']","['Drop Mag', 'Tactical Mag', 'Flared Magwell']","['Firmly Planted', 'Snapshot Sights', 'Threat Detector']","['Rampage', 'Outlaw', 'Moving Target']"
show of force xf4865,pve,Sniper Rifle,Aggressive Frame,"['ATD Raptor', 'ATA Scout', 'ATC Rex']","['Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag']","['Firmly Planted', 'Mulligan', 'Rapid Hit']","['Rampage', 'Outlaw', 'Triple Tap']"
show of force xf4865,pvp,Sniper Rifle,Aggressive Frame,"['ATD Raptor', 'ATA Scout', 'ATC Rex']","['Tactical Mag', 'Flared Magwell', 'Steady Rounds']","['Firmly Planted', 'Snapshot Sights']","['Rampage', 'Outlaw', 'Moving Target']"
